地名,センター,燃やせるごみ,燃やせないごみ,資源ごみ,粗大系燃やせるごみ
大川1丁目・大川7～11丁目・字大川,クリーンセンター,月 木,水1 水3,金1 金3,水2 水4
大川2～5丁目,クリーンセンター,月 木,水1 水3,火1 火3,水2 水4
大川6丁目,クリーンセンター,月 木,水1 水3,火2 火4,水2 水4
大中山1～8丁目・字大中山,クリーンセンター,月 木,水1 水3,火2 火4,水2 水4
鳴川1～3丁目,クリーンセンター,火 金,水2 水4,木2 木4,水1 水3
鳴川4～5丁目・字鳴川,クリーンセンター,火 金,水2 水4,木1 木3,水1 水3
本町1～4丁目,クリーンセンター,火 金,水2 水4,月1 月3,水1 水3
本町5～8丁目,クリーンセンター,火 金,水2 水4,木1 木3,水1 水3
緑町・飯田町・鶴野,クリーンセンター,火 金,水2 水4,木2 木4,水1 水3
中野・中島・豊田,クリーンセンター,月 木,水1 水3,金1 金3,水1 水3
桜町,クリーンセンター,火 金,水2 水4,木1 木3,水1 水3
上藤城・藤城・峠下・仁山,クリーンセンター,月 木,水2 水4,金2 金4,水1 水3
大沼町・上軍川・軍川・東大沼・西大沼,クリーンセンター,火 金,水1 水3,月2 月4,水2 水4
